T,t1,t2,t4
26.94125366,27.9,461.7,598.2684
27.03850937,27.9,461.6,597.67
27.19198799,27.9,461.6,597.8929
27.21388245,27.8,461.4,597.9606
27.14159584,27.9,461.5,597.9781
27.08648109,27.9,461.6,597.9915
26.99312401,27.8,461.6,597.8897
26.89746666,27.8,461.5,597.8365
26.80555153,27.8,461.3,597.7664
26.61485863,27.8,461.3,597.8568
26.45079803,27.8,461.2,597.9717
26.36305428,27.8,461.2,598.0782
26.25894737,27.8,461.2,598.2944
26.22076988,28.0,461.4,598.7504
26.20583725,28.1,461.5,598.622
26.16360664,28.1,461.6,598.7996
26.14082909,28.1,461.3,598.8532
26.30449486,28.2,461.6,598.8441
26.49197769,28.0,461.6,598.3774
26.56192398,27.9,461.4,597.9372
26.56062698,27.7,461.1,598.0287
26.56025887,27.8,461.2,598.1894
26.48006821,27.9,461.2,598.0241
26.38216972,27.7,461.2,597.5980000000001
26.448246,27.8,461.1,597.7625
26.5560627,27.8,461.1,597.4586
26.65726471,27.7,460.9,597.9091
26.81296158,28.0,461.1,597.7689
26.9858036,27.8,461.0,598.0871
27.05397797,27.8,461.1,597.6394
27.26306152,27.8,460.9,598.1159
27.30396461,27.9,460.9,597.9681
27.40155411,27.7,460.7,597.9105
27.52968025,27.7,460.6,597.5691
27.58426094,27.6,460.6,597.5685
27.55685997,27.5,460.6,597.1159
27.609478000000003,27.3,460.5,596.5933
27.67755508,27.5,460.6,596.924
27.65371132,27.6,460.6,597.1321
27.68641663,27.5,460.6,596.4041
27.61323738,27.5,460.4,597.5096
27.59342575,27.8,460.6,597.8958
27.57162857,27.3,460.4,597.3064
27.57207298,27.7,460.5,596.6888
27.56803703,27.5,460.7,596.8654
27.52752113,27.5,460.3,596.6238
27.56294823,27.4,460.4,596.7339
27.64343643,27.4,460.4,596.4827
27.63889122,27.6,460.3,596.8217
27.59061623,27.5,460.3,597.2295
27.55566406,27.5,460.3,596.9417
27.52459145,27.6,460.5,596.5802
27.46797943,27.5,460.5,596.4495
27.37169075,27.2,460.3,596.2483
27.30909348,27.5,460.1,596.2184
27.27358627,27.3,460.2,595.7414
27.29395866,27.3,460.2,596.1871
27.25195885,27.2,460.2,595.9431
27.262407300000003,27.4,460.4,595.7036
27.33543015,27.3,460.3,595.4942
27.26759338,27.3,460.1,595.6271
27.16721535,27.3,460.1,595.864
27.13393211,27.4,460.0,595.4783
27.11823273,27.1,460.2,595.7436
27.12999725,27.1,459.9,596.0419
27.11182213,27.4,460.1,596.1658
27.12176323,27.2,460.0,595.6646
27.1871891,27.0,459.9,595.8418
27.11847305,27.0,459.9,595.4547
27.21571732,27.0,459.7,595.6473
27.28769302,27.2,460.0,595.5233
27.27086067,27.2,459.8,595.7626
27.22457123,27.1,459.9,595.6072
27.21055031,27.0,459.9,595.4539
27.16130447,27.0,459.7,595.3676
27.24074936,27.0,459.8,595.3334
27.23679543,27.0,459.9,595.4348
27.22332001,27.1,459.8,596.0817
27.21727753,26.9,459.7,595.5905
27.21744919,27.0,459.6,595.6016
27.16175079,26.9,459.6,595.3096
27.16352654,26.9,459.6,595.4598
27.21077538,26.9,459.7,595.4732
27.18355179,26.8,459.5,595.1851
27.16720581,26.8,459.6,595.2299
27.13714981,26.8,459.5,595.1693
27.08075714,27.0,459.6,594.9171
27.08951378,26.8,459.8,594.7557
27.02819061,26.5,459.5,594.4944
26.93637466,26.6,459.4,594.5558
26.79345703,26.7,459.3,594.8867
26.79861832,27.0,459.7,595.0938
26.81683159,26.7,459.6,595.1058
26.65257072,26.6,459.4,594.98
26.5520134,26.5,459.2,594.762
26.41827202,26.5,459.1,594.5638
26.31544495,26.5,459.1,594.4753
26.27504158,26.4,459.3,594.0659
26.22001839,26.4,459.3,594.0336
26.14613152,26.7,459.4,594.3228
26.07928467,26.5,459.3,594.9964
26.0212822,26.4,459.1,594.6465
25.9811554,26.3,459.0,594.2581
25.99194145,26.5,459.1,593.8384
25.92194939,26.6,459.2,593.8511
25.82312775,26.2,459.0,593.877
25.84103584,26.2,458.9,593.9216
